snapshot_url,snapshot_date,open_runs,open_lifts,base_snow,Season Yrs,Season,Opening Date,Closing Date,Date in Season,Days since open,Open Runs Cleaned,Open Lifts Cleaned,Open Runs %,Open Lifts %,ENSO
https://web.archive.org/web/20211026030437/https://www.arapahoebasin.com/the-mountain/terrain-status/,2021-10-26,1 / 145,1 / 9,18,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,9,1 / 145,1 / 9,0.69%,11.11%,La Niña
https://web.archive.org/web/20211115223934/https://www.arapahoebasin.com/the-mountain/terrain-status/,2021-11-15,5 / 145,2 / 9,25,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,29,5 / 145,2 / 9,3.45%,22.22%,La Niña
https://web.archive.org/web/20211124032206/https://www.arapahoebasin.com/the-mountain/terrain-status/,2021-11-24,9 / 145,4 / 9,24,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,38,9 / 145,4 / 9,6.21%,44.44%,La Niña
https://web.archive.org/web/20211124082936/https://www.arapahoebasin.com/the-mountain/terrain-status/,2021-11-24,9 / 145,4 / 9,24,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,38,9 / 145,4 / 9,6.21%,44.44%,La Niña
https://web.archive.org/web/20211204210834/https://www.arapahoebasin.com/the-mountain/terrain-status/,2021-12-04,10 / 145,4 / 9,22,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,48,10 / 145,4 / 9,6.90%,44.44%,La Niña
https://web.archive.org/web/20211205052838/https://www.arapahoebasin.com/the-mountain/terrain-status/,2021-12-05,10 / 145,4 / 9,22,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,49,10 / 145,4 / 9,6.90%,44.44%,La Niña
https://web.archive.org/web/20211210224510/https://www.arapahoebasin.com/the-mountain/terrain-status/,2021-12-10,11 / 145,4 / 9,29,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,54,11 / 145,4 / 9,7.59%,44.44%,La Niña
https://web.archive.org/web/20220528124746/https://www.arapahoebasin.com/the-mountain/terrain-status/,2022-05-28,11 / 145,2 / 9,44,2021/2022,21/22,"Oct 17, 2021","Jun 5, 2022",In Season,223,11 / 145,2 / 9,7.59%,22.22%,La Niña
https://web.archive.org/web/20221007195524/https://www.arapahoebasin.com/the-mountain/terrain-status/,2022-10-07,0 / 145,0 / 9,0,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",Out of Season,0,0 / 145,0 / 9,0.00%,0.00%,La Niña
https://web.archive.org/web/20230102005026/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-01-02,81 / 145,7 / 9,48,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,71,81 / 145,7 / 9,55.86%,77.78%,La Niña
https://web.archive.org/web/20230123231910/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-01-23,123 / 145,9 / 9,46,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,92,123 / 145,9 / 9,84.83%,100.00%,La Niña
https://web.archive.org/web/20230314232002/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-03-14,133 / 145,9 / 9,70,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,142,133 / 145,9 / 9,91.72%,100.00%,La Niña
https://web.archive.org/web/20230330060509/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-03-30,144 / 145,9 / 9,64,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,158,144 / 145,9 / 9,99.31%,100.00%,La Niña
https://web.archive.org/web/20230403034307/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-04-03,144 / 145,9 / 9,69,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,162,144 / 145,9 / 9,99.31%,100.00%,La Niña
https://web.archive.org/web/20230506210756/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-05-06,70 / 145,9 / 9,58,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,195,70 / 145,9 / 9,48.28%,100.00%,La Niña
https://web.archive.org/web/20230529181554/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-05-29,11 / 145,2 / 9,41,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,218,11 / 145,2 / 9,7.59%,22.22%,La Niña
https://web.archive.org/web/20230530220058/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-05-30,10 / 145,2 / 9,40,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,219,10 / 145,2 / 9,6.90%,22.22%,La Niña
https://web.archive.org/web/20230601053823/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-06-01,10 / 145,2 / 9,38,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,221,10 / 145,2 / 9,6.90%,22.22%,La Niña
https://web.archive.org/web/20230922035257/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-09-22,0 / 145,0 / 9,0,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",Out of Season,0,0 / 145,0 / 9,0.00%,0.00%,La Niña
https://web.archive.org/web/20231011190756/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-10-11,0 / 145,0 / 9,0,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",Out of Season,0,0 / 145,0 / 9,0.00%,0.00%,El Niño
https://web.archive.org/web/20231031005259/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-10-31,1 / 145,1 / 9,18,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,2,1 / 145,1 / 9,0.69%,11.11%,El Niño
https://web.archive.org/web/20231031213935/https://www.arapahoebasin.com/the-mountain/terrain-status/,2023-10-31,1 / 145,1 / 9,18,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,2,1 / 145,1 / 9,0.69%,11.11%,El Niño
https://web.archive.org/web/20231216224409/https://www.arapahoebasin.com/snow-report/,2023-12-16,10 /144 open runs,4 /9 open lifts,20,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,48,10 /144,4 /9,6.94%,44.44%,El Niño
https://web.archive.org/web/20240109051257/https://www.arapahoebasin.com/snow-report/,2024-01-09,18 /144 open runs,6 /9 open lifts,24,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,72,18 /144,6 /9,12.50%,66.67%,El Niño
https://web.archive.org/web/20240120044003/https://www.arapahoebasin.com/snow-report/,2024-01-20,73 /144 open runs,7 /9 open lifts,52,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,83,73 /144,7 /9,50.69%,77.78%,El Niño
https://web.archive.org/web/20240206150018/https://www.arapahoebasin.com/snow-report/,2024-02-06,113 /144 open runs,9 /9 open lifts,48,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,100,113 /144,9 /9,78.47%,100.00%,El Niño
https://web.archive.org/web/20240214142315/https://www.arapahoebasin.com/snow-report/,2024-02-14,130 /144 open runs,9 /9 open lifts,46,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,108,130 /144,9 /9,90.28%,100.00%,El Niño
https://web.archive.org/web/20240228154741/https://www.arapahoebasin.com/snow-report/,2024-02-28,136 /144 open runs,9 /9 open lifts,51,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,122,136 /144,9 /9,94.44%,100.00%,El Niño
https://web.archive.org/web/20240323003629/https://www.arapahoebasin.com/snow-report/,2024-03-23,136 /144 open runs,9 /9 open lifts,60,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,146,136 /144,9 /9,94.44%,100.00%,El Niño
https://web.archive.org/web/20240324045742/https://www.arapahoebasin.com/snow-report/,2024-03-24,143 /144 open runs,9 /9 open lifts,60,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,147,143 /144,9 /9,99.31%,100.00%,El Niño
https://web.archive.org/web/20240328194732/https://www.arapahoebasin.com/snow-report/,2024-03-28,142 /144 open runs,9 /9 open lifts,60,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,151,142 /144,9 /9,98.61%,100.00%,El Niño
https://web.archive.org/web/20240416203159/https://www.arapahoebasin.com/snow-report/,2024-04-16,116 /144 open runs,9 /9 open lifts,68,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,170,116 /144,9 /9,80.56%,100.00%,El Niño
https://web.archive.org/web/20240502195511/https://www.arapahoebasin.com/snow-report/,2024-05-02,114 /144 open runs,9 /9 open lifts,62,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,186,114 /144,9 /9,79.17%,100.00%,El Niño
https://web.archive.org/web/20240513182554/https://www.arapahoebasin.com/snow-report/,2024-05-13,94 /144 open runs,8 /9 open lifts,66,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,197,94 /144,8 /9,65.28%,88.89%,El Niño
https://web.archive.org/web/20240514022421/https://www.arapahoebasin.com/snow-report/,2024-05-14,94 /144 open runs,8 /9 open lifts,66,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,198,94 /144,8 /9,65.28%,88.89%,El Niño
https://web.archive.org/web/20240521175441/https://www.arapahoebasin.com/snow-report/,2024-05-21,32 /144 open runs,4 /9 open lifts,56,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,205,32 /144,4 /9,22.22%,44.44%,El Niño
https://web.archive.org/web/20240521222314/https://www.arapahoebasin.com/snow-report/,2024-05-21,32 /144 open runs,4 /9 open lifts,56,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,205,32 /144,4 /9,22.22%,44.44%,El Niño
https://web.archive.org/web/20240531193801/https://www.arapahoebasin.com/snow-report/,2024-05-31,24 /144 open runs,2 /9 open lifts,49,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,215,24 /144,2 /9,16.67%,22.22%,El Niño
https://web.archive.org/web/20240601012029/https://www.arapahoebasin.com/snow-report/,2024-06-01,24 /144 open runs,2 /9 open lifts,49,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,216,24 /144,2 /9,16.67%,22.22%,El Niño
https://web.archive.org/web/20240604052404/https://www.arapahoebasin.com/snow-report/,2024-06-04,18 /144 open runs,2 /9 open lifts,47,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,219,18 /144,2 /9,12.50%,22.22%,El Niño
https://web.archive.org/web/20240617194204/https://www.arapahoebasin.com/snow-report/,2024-06-17,0 /12 open runs,2 /9 open lifts,N/A,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",Out of Season,0,0 /12,2 /9,0.00%,22.22%,El Niño
https://web.archive.org/web/20240711011629/https://www.arapahoebasin.com/snow-report/,2024-07-11,13 /13 open runs,2 /9 open lifts,N/A,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",Out of Season,0,13 /13,2 /9,100.00%,22.22%,El Niño
https://web.archive.org/web/20240815182649/https://www.arapahoebasin.com/snow-report/,2024-08-15,13 /13 open runs,1 /9 open lifts,N/A,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",Out of Season,0,13 /13,1 /9,100.00%,11.11%,El Niño
https://web.archive.org/web/20240908223613/https://www.arapahoebasin.com/snow-report/,2024-09-08,13 /13 open runs,1 /9 open lifts,N/A,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",Out of Season,0,13 /13,1 /9,100.00%,11.11%,El Niño
https://web.archive.org/web/20240911060905/https://www.arapahoebasin.com/snow-report/,2024-09-11,13 /13 open runs,1 /9 open lifts,N/A,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",Out of Season,0,13 /13,1 /9,100.00%,11.11%,El Niño
https://web.archive.org/web/20241001172539/https://www.arapahoebasin.com/snow-report/,2024-10-01,0 /147 open runs,0 /9 open lifts,0,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",Out of Season,0,0 /147,0 /9,0.00%,0.00%,Neutral
https://web.archive.org/web/20241002075254/https://www.arapahoebasin.com/snow-report/,2024-10-02,0 /147 open runs,0 /9 open lifts,0,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",Out of Season,0,0 /147,0 /9,0.00%,0.00%,Neutral
https://web.archive.org/web/20241005065015/https://www.arapahoebasin.com/snow-report/,2024-10-05,0 /147 open runs,0 /9 open lifts,0,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",Out of Season,0,0 /147,0 /9,0.00%,0.00%,Neutral
https://web.archive.org/web/20241111120824/https://www.arapahoebasin.com/snow-report/,2024-11-11,1 /147 open runs,1 /9 open lifts,18,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,20,1 /147,1 /9,0.68%,11.11%,Neutral
https://web.archive.org/web/20241120042311/https://www.arapahoebasin.com/snow-report/,2024-11-20,1 /147 open runs,1 /9 open lifts,18,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,29,1 /147,1 /9,0.68%,11.11%,Neutral
https://web.archive.org/web/20241120202438/https://www.arapahoebasin.com/snow-report/,2024-11-20,1 /147 open runs,1 /9 open lifts,18,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,29,1 /147,1 /9,0.68%,11.11%,Neutral
https://web.archive.org/web/20241122224649/https://www.arapahoebasin.com/snow-report/,2024-11-22,1 /147 open runs,1 /9 open lifts,18,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,31,1 /147,1 /9,0.68%,11.11%,Neutral
https://web.archive.org/web/20241125172555/https://www.arapahoebasin.com/snow-report/,2024-11-25,3 /147 open runs,2 /9 open lifts,21,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,34,3 /147,2 /9,2.04%,22.22%,Neutral
https://web.archive.org/web/20241127193352/https://www.arapahoebasin.com/snow-report/,2024-11-27,5 /147 open runs,2 /9 open lifts,36,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,36,5 /147,2 /9,3.40%,22.22%,Neutral
https://web.archive.org/web/20241127193925/https://www.arapahoebasin.com/snow-report/,2024-11-27,5 /147 open runs,2 /9 open lifts,36,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,36,5 /147,2 /9,3.40%,22.22%,Neutral
https://web.archive.org/web/20241127194056/https://www.arapahoebasin.com/snow-report/,2024-11-27,5 /147 open runs,2 /9 open lifts,36,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,36,5 /147,2 /9,3.40%,22.22%,Neutral
https://web.archive.org/web/20241128235250/https://www.arapahoebasin.com/snow-report/,2024-11-28,15 /147 open runs,3 /9 open lifts,35,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,37,15 /147,3 /9,10.20%,33.33%,Neutral
https://web.archive.org/web/20241208182004/https://www.arapahoebasin.com/snow-report/,2024-12-08,39 /147 open runs,4 /9 open lifts,25,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,47,39 /147,4 /9,26.53%,44.44%,Neutral
https://web.archive.org/web/20241214192936/https://www.arapahoebasin.com/snow-report/,2024-12-14,42 /147 open runs,4 /9 open lifts,27,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,53,42 /147,4 /9,28.57%,44.44%,Neutral
https://web.archive.org/web/20241217104147/https://www.arapahoebasin.com/snow-report/,2024-12-17,44 /147 open runs,4 /9 open lifts,27,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,56,44 /147,4 /9,29.93%,44.44%,Neutral
https://web.archive.org/web/20250109233708/https://www.arapahoebasin.com/snow-report/,2025-01-09,116 /147 open runs,6 /9 open lifts,45,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,79,116 /147,6 /9,78.91%,66.67%,Neutral
https://web.archive.org/web/20250118165539/https://www.arapahoebasin.com/snow-report/,2025-01-18,129 /147 open runs,9 /9 open lifts,45,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,88,129 /147,9 /9,87.76%,100.00%,Neutral
https://web.archive.org/web/20250211211826/https://www.arapahoebasin.com/snow-report/,2025-02-11,136 /147 open runs,9 /9 open lifts,48,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,112,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250215053302/http://arapahoebasin.com/snow-report,2025-02-15,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,116,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250215054750/https://arapahoebasin.com/snow-report,2025-02-15,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,116,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250216014951/http://www.arapahoebasin.com/snow-report,2025-02-16,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,117,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250216031717/https://www.arapahoebasin.com/snow-report,2025-02-16,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,117,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250217150910/https://www.arapahoebasin.com/snow-report/,2025-02-17,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,118,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250318200901/https://www.arapahoebasin.com/snow-report/,2025-03-18,86 /147 open runs,6 /9 open lifts,63,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,147,86 /147,6 /9,58.50%,66.67%,Neutral
https://web.archive.org/web/20250407093129/https://www.arapahoebasin.com/snow-report/,2025-04-07,147 /147 open runs,9 /9 open lifts,70,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,167,147 /147,9 /9,100.00%,100.00%,Neutral
https://web.archive.org/web/20250408184453/https://www.arapahoebasin.com/snow-report/,2025-04-08,141 /147 open runs,7 /9 open lifts,66,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,168,141 /147,7 /9,95.92%,77.78%,Neutral
https://web.archive.org/web/20250415064912/https://www.arapahoebasin.com/snow-report/,2025-04-15,105 /147 open runs,9 /9 open lifts,61,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,175,105 /147,9 /9,71.43%,100.00%,Neutral
https://web.archive.org/web/20250417180356/https://www.arapahoebasin.com/snow-report/,2025-04-17,118 /147 open runs,7 /9 open lifts,57,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,177,118 /147,7 /9,80.27%,77.78%,Neutral
https://web.archive.org/web/20250517053650/https://www.arapahoebasin.com/snow-report/,2025-05-17,31 /147 open runs,4 /9 open lifts,58,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,207,31 /147,4 /9,21.09%,44.44%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2022-11-27,5/147,3/9,19,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,35,5/147,3/9,3.40%,33.33%,La Niña
https://www.onthesnow.com/united-states/open-resorts,2022-12-08,5/147,3/9,32,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,46,5/147,3/9,3.40%,33.33%,La Niña
https://www.onthesnow.com/united-states/open-resorts,2023-03-23,145/147,9/9,65,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,151,145/147,9/9,98.64%,100.00%,La Niña
https://www.onthesnow.com/united-states/open-resorts,2023-12-09,10/145,4/9,22,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,41,10/145,4/9,6.90%,44.44%,El Niño
https://www.onthesnow.com/united-states/open-resorts,2024-05-18,81/145,8/9,63,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,202,81/145,8/9,55.86%,88.89%,El Niño
https://www.onthesnow.com/united-states/open-resorts,2025-01-17,126/145,9/9,44,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,87,126/145,9/9,86.90%,100.00%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2025-01-19,129/145,9/9,45,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,89,129/145,9/9,88.97%,100.00%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2025-04-23,128/147,9/9,63,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,183,128/147,9/9,87.07%,100.00%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2025-05-14,29/147,4/9,51,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,204,29/147,4/9,19.73%,44.44%,Neutral